iso3,year,GDP,logGDP,hdicode_x,region_x,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII Rank,Gender Inequality Index (value),"Labour force participation rate, female (% ages 15 and older)","Labour force participation rate, male (% ages 15 and older)","Maternal Mortality Ratio (deaths per 100,000 live births)","Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Population, total (millions)_x","Share of seats in parliament, female (% held by women)","Share of seats in parliament, male (% held by men)",GII_Category,hdicode_y,region_y,"Expected Years of Schooling, female (years)","Expected Years of Schooling, male (years)",GDI Group,Gender Development Index (value),"Gross National Income Per Capita, female (2021 PPP$)","Gross National Income Per Capita, male (2021 PPP$)",HDI female (value),HDI male (value),"Life Expectancy at Birth, female (years)","Life Expectancy at Birth, male (years)","Mean Years of Schooling, female (years)","Mean Years of Schooling, male (years)","Population, total (millions)_y",GDI_gap,GDI_gap_abs,A woman can apply for a passport in the same way as a man (1=yes; 0=no),A woman can be head of household in the same way as a man (1=yes; 0=no),A woman can choose where to live in the same way as a man (1=yes; 0=no),A woman can get a job in the same way as a man (1=yes; 0=no),A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),A woman can open a bank account in the same way as a man (1=yes; 0=no),A woman can register a business in the same way as a man (1=yes; 0=no),A woman can sign a contract in the same way as a man (1=yes; 0=no),A woman can travel outside her home in the same way as a man (1=yes; 0=no),A woman can travel outside the country in the same way as a man (1=yes; 0=no),A woman can work at night in the same way as a man (1=yes; 0=no),A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),A woman can work in an industrial job in the same way as a man (1=yes; 0=no),A woman has the same rights to remarry as a man (1=yes; 0=no),Criminal penalties or civil remedies exist for sexual harassment in employment (1=yes; 0=no),Dismissal of pregnant workers is prohibited (1=yes; 0=no),Female and male surviving spouses have equal rights to inherit assets (1=yes; 0=no),Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no),Law prohibits discrimination in employment based on gender (1=yes; 0=no),Men and married women have equal ownership rights to immovable property (1=yes; 0=no),Paid leave is available to fathers (1=yes; 0=no),Paid leave of at least 14 weeks available to mothers (1=yes; 0=no),Sons and daughters have equal rights to inherit assets from their parents (1=yes; 0=no),The age at which men and women can retire with full pension benefits is the same (1=yes; 0=no),The age at which men and women can retire with partial pension benefits is the same (1=yes; 0=no),The government administers 100% of maternity leave benefits (1=yes; 0=no),The law grants spouses equal administrative authority over assets during marriage (1=yes; 0=no),The law prohibits discrimination in access to credit based on gender (1=yes; 0=no),The mandatory retirement age for men and women is the same (1=yes; 0=no),There are periods of absence due to child care accounted for in pension benefits (1=yes; 0=no),There is legislation on sexual harassment in employment (1=yes; 0=no),There is legislation specifically addressing domestic violence (1=yes; 0=no),There is no legal provision that requires a married woman to obey her husband (1=yes; 0=no),There is paid parental leave (1=yes; 0=no),Gender Inequality Index (value)_shifted
BWA,1990,5978.019273369266,8.695844566888413,High,SSA,103.578,,0.595,41.68,75.43,235.1653126,29.96486771,34.50697415,1.305696,8.510638298,91.4893617,NB,High,SSA,10.72190866,10.46825194,,0.943,6148.128137,14137.16652,0.569542262,0.603744618,63.728,56.655,5.11,5.93,1.305696,0.05700000000000005,0.05700000000000005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
BRA,1990,6687.922948339046,8.808058633815852,High,LAC,88.481,,0.582,44.95,85.02,194.281811,22.19999746,21.63708105,149.143223,6.734006734,93.26599327,NB,High,LAC,,,,,7211.979716,17175.14725,,,68.706,63.133,3.794890399,3.529828996,149.143223,,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
BRN,1990,70200.74061765613,11.159114140067313,Very High,EAP,37.789,,,46.44,82.22,57.61513543,60.24804561,68.55567298,0.2552925,,,,Very High,EAP,12.8200412,12.40249384,,0.954,51800.74639,126862.7286,0.755964334,0.792200168,73.773,70.031,6.72,8.12,0.2552925,0.04600000000000004,0.04600000000000004,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,
BGR,1990,7545.585203275992,8.928717929927261,Very High,,69.971,,0.362,55.24,61.47,23.42988532,42.07369749,44.86843773,8.822365,10.83333333,89.16666667,B,Very High,,12.26418972,12.33456993,,0.978,14487.74949,21063.54005,0.697498941,0.713312084,74.809,68.084,6.609721182,7.033650452,8.822365,0.02200000000000002,0.02200000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
BFA,1990,566.944147268755,6.340260793176903,Low,SSA,145.726,,,79.39,88.92,721.8329264,,,9.1593565,10.80139373,89.19860627,,Low,SSA,1.799282763,3.088358153,,,917.8947021,1305.186529,,,50.232,48.33,,,9.1593565,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
BDI,1990,598.1641844431409,6.393865272192036,Low,SSA,74.557,,,90.55,90.06,1505.363871,1.769999981,4.639999866,5.5870525,,,,Low,SSA,3.711639881,4.726089954,,0.822,1212.533546,1504.66707,0.264490525,0.321652776,46.962,43.398,0.819999993,2.180000067,5.5870525,0.17800000000000005,0.17800000000000005,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
CPV,1990,1044.457524419584,6.951252914223912,Medium,SSA,123.487,,,,,290.1146488,,,0.3754285,11.11111111,88.88888889,,Medium,SSA,,,,,,,,,67.255,60.1,,,0.3754285,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
KHM,1990,1409.713916826127,7.251142066918067,Medium,EAP,84.514,,,,,561.605748,5.154470352,14.83566819,7.374752,5.833333333,94.16666667,,Medium,EAP,,,,,,,,,57.757,52.374,1.855142845,4.072082836,7.374752,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
CMR,1990,2031.90998837006,7.61673151065525,Medium,SSA,159.392,,,,,687.4004276,10.78772762,26.52156037,11.331821,5.555555556,94.44444444,,Medium,SSA,7.477451202,8.944416905,,,,,,,55.893,52.784,1.497493778,2.758722516,11.331821,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
CAN,1990,20229.75586816251,9.914909862276938,Very High,,25.363,,0.186,58.5,76.12,6.888846046,82.86946043,83.42696223,27.7894425,21.2345679,78.7654321,VB,Very High,,17.16246986,16.23603058,,0.984,26904.31627,45777.69215,0.855878953,0.86998951,80.621,74.227,10.58715821,10.9293612,27.7894425,0.016000000000000014,0.016000000000000014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
