iso3,year,GDP,logGDP,hdicode_x,region_x,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII Rank,Gender Inequality Index (value),"Labour force participation rate, female (% ages 15 and older)","Labour force participation rate, male (% ages 15 and older)","Maternal Mortality Ratio (deaths per 100,000 live births)","Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Population, total (millions)_x","Share of seats in parliament, female (% held by women)","Share of seats in parliament, male (% held by men)",GII_Category,hdicode_y,region_y,"Expected Years of Schooling, female (years)","Expected Years of Schooling, male (years)",GDI Group,Gender Development Index (value),"Gross National Income Per Capita, female (2021 PPP$)","Gross National Income Per Capita, male (2021 PPP$)",HDI female (value),HDI male (value),"Life Expectancy at Birth, female (years)","Life Expectancy at Birth, male (years)","Mean Years of Schooling, female (years)","Mean Years of Schooling, male (years)","Population, total (millions)_y",GDI_gap,GDI_gap_abs,A woman can apply for a passport in the same way as a man (1=yes; 0=no),A woman can be head of household in the same way as a man (1=yes; 0=no),A woman can choose where to live in the same way as a man (1=yes; 0=no),A woman can get a job in the same way as a man (1=yes; 0=no),A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),A woman can open a bank account in the same way as a man (1=yes; 0=no),A woman can register a business in the same way as a man (1=yes; 0=no),A woman can sign a contract in the same way as a man (1=yes; 0=no),A woman can travel outside her home in the same way as a man (1=yes; 0=no),A woman can travel outside the country in the same way as a man (1=yes; 0=no),A woman can work at night in the same way as a man (1=yes; 0=no),A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),A woman can work in an industrial job in the same way as a man (1=yes; 0=no),A woman has the same rights to remarry as a man (1=yes; 0=no),Criminal penalties or civil remedies exist for sexual harassment in employment (1=yes; 0=no),Dismissal of pregnant workers is prohibited (1=yes; 0=no),Female and male surviving spouses have equal rights to inherit assets (1=yes; 0=no),Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no),Law prohibits discrimination in employment based on gender (1=yes; 0=no),Men and married women have equal ownership rights to immovable property (1=yes; 0=no),Paid leave is available to fathers (1=yes; 0=no),Paid leave of at least 14 weeks available to mothers (1=yes; 0=no),Sons and daughters have equal rights to inherit assets from their parents (1=yes; 0=no),The age at which men and women can retire with full pension benefits is the same (1=yes; 0=no),The age at which men and women can retire with partial pension benefits is the same (1=yes; 0=no),The government administers 100% of maternity leave benefits (1=yes; 0=no),The law grants spouses equal administrative authority over assets during marriage (1=yes; 0=no),The law prohibits discrimination in access to credit based on gender (1=yes; 0=no),The mandatory retirement age for men and women is the same (1=yes; 0=no),There are periods of absence due to child care accounted for in pension benefits (1=yes; 0=no),There is legislation on sexual harassment in employment (1=yes; 0=no),There is legislation specifically addressing domestic violence (1=yes; 0=no),There is no legal provision that requires a married woman to obey her husband (1=yes; 0=no),There is paid parental leave (1=yes; 0=no),Gender Inequality Index (value)_shifted
MKD,2008,10924.32767131017,9.298747477686595,Very High,ECA,21.271,,0.178,42.56,67.58,6.910201351,47.03106403,63.5081234,2.070834,31.66666667,68.33333333,VB,Very High,ECA,13.38405991,13.26616001,,0.928,10170.01488,22176.00061,0.721252237,0.777264405,76.665,72.098,8.19334501,9.499272585,2.070834,0.07199999999999995,0.07199999999999995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.183
NOR,2008,62072.75398549091,11.036062427450181,Very High,,9.198,,0.079,70.6,76.85,4.507228687,99.70999908,99.73999786,4.768101,36.09467456,63.90532544,VB,Very High,,18.07729912,16.70809937,,1.005,65452.54215,112104.4462,0.941686396,0.93718706,82.957,78.316,12.5,12.47000027,4.768101,-0.004999999999999893,0.004999999999999893,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.077
OMN,2008,52841.18895146398,10.875046259357077,Very High,AS,9.495,,0.329,24.87,79.18,21.24476914,47.22000122,57.25,2.626529,9.090909091,90.90909091,B,Very High,AS,12.70043993,11.54869986,,0.895,12748.0144,66848.77263,0.71886371,0.802933308,78.852,74.212,6.96999979,8.489999771,2.626529,0.10499999999999998,0.10499999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.326
PAK,2008,3721.332935556335,8.22183719909711,Low,SA,57.112,,0.608,19.98,79.38,240.6969664,19.93000031,43.93000031,189.499113,21.23287671,78.76712329,NB,Low,SA,5.361889839,6.605840206,,0.698,1033.375382,7259.134028,0.387376522,0.554850438,66.227,62.076,2.880000114,6.039999962,189.499113,0.30200000000000005,0.30200000000000005,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.618
PLW,2008,13905.27355205718,9.540023439402077,High,EAP,27.712,,,57.25,99.53,,,,0.0190085,6.896551724,93.10344828,,High,EAP,15.52695113,13.43485183,,,9521.696827,22387.39191,,,71.512,64.384,,,0.0190085,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
PAN,2008,14705.37145091306,9.595968110846762,Very High,LAC,89.987,,0.442,47.28,80.97,53.4847642,57.31999969,54.74000168,3.5006485,16.66666667,83.33333333,MB,Very High,LAC,13.41810989,12.39206028,,0.997,14482.94078,24857.75315,0.764384769,0.766594958,79.347,72.654,9.202000046,8.790000153,3.5006485,0.0030000000000000027,0.0030000000000000027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.44
PNG,2008,2583.480943277247,7.856892971380021,Medium,EAP,70.615,,0.685,52.41,53.89,291.5668003,17.38549829,35.36165057,7.1830015,0.917431193,99.08256881,NB,Medium,EAP,7.195341401,8.118504383,,0.883,2627.413926,3560.41517,0.458542173,0.519179925,64.732,60.763,3.020295347,4.923295405,7.1830015,0.11699999999999999,0.11699999999999999,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.693
PRY,2008,9867.396953280268,9.19699136444019,High,LAC,74.327,,0.489,53.87,84.98,107.1305891,37.04999924,41.33000183,5.6135735,13.6,86.4,MB,High,LAC,13.11503029,12.50504971,,0.956,7349.860959,14856.8583,0.681099471,0.712557886,74.625,69.612,7.28000021,7.5,5.6135735,0.04400000000000004,0.04400000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.499
PER,2008,8820.139010426603,9.08479290969598,High,LAC,65.311,,0.406,70.27,86.2,83.65812168,50.22000122,61.58000183,28.719041,29.16666667,70.83333333,MB,High,LAC,13.12213993,13.30772781,,0.934,7746.939556,13099.18141,0.688757782,0.737565272,75.07,70.597,7.510000229,8.920000076,28.719041,0.06599999999999995,0.06599999999999995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.41
PHL,2008,5144.335781856643,8.545651540197744,High,EAP,56.382,,0.442,46.95,75.33,106.6472895,63.93384493,60.64769305,92.6990945,20.22900763,79.77099237,MB,High,EAP,11.87796021,11.25306988,,0.99,5157.238458,8175.261815,0.656672904,0.663603501,71.949,65.231,8.850000381,8.569999695,92.6990945,0.010000000000000009,0.010000000000000009,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.443
POL,2008,18372.37645483001,9.818603535918857,Very High,,16.52,,0.172,47.17,62.73,3.264353292,75.58000183,82.65000153,37.995902,18.03571429,81.96428571,VB,Very High,,15.95318985,14.82981014,,1.005,20080.92925,30980.87052,0.842361991,0.837968459,79.827,71.314,12.09000015,12.25,37.995902,-0.004999999999999893,0.004999999999999893,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.166
PRT,2008,26665.8372952939,10.19113852307777,Very High,,15.864,,0.134,55.83,68.92,9.165965197,36.99000168,38.18000031,10.5640805,28.26086957,71.73913043,VB,Very High,,15.9997797,15.48818016,,0.992,28271.49082,41603.74431,0.821970335,0.828914162,82.772,76.291,7.739999771,7.829999924,10.5640805,0.008000000000000007,0.008000000000000007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.137
QAT,2008,126014.9188745981,11.744155582691095,Very High,AS,15.029,,0.686,49.24,95.49,12.20205097,69.19000244,65.55000305,1.4269385,0.0,100.0,NB,Very High,AS,13.72371006,11.55615997,,0.991,38152.04588,133290.1562,0.829950314,0.83772556,79.461,77.647,10.35999966,9.430000305,1.4269385,0.009000000000000008,0.009000000000000008,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.687
ROU,2008,16782.11664070377,9.728069112751694,Very High,,46.735,,0.353,46.81,62.77,23.45434108,82.75,90.33000183,20.718742,9.766454352,90.23354565,B,Very High,,16.02531052,14.84323978,,0.987,20503.34787,33217.12196,0.808979603,0.819751144,77.032,69.447,10.18999958,11.21000004,20.718742,0.013000000000000012,0.013000000000000012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.35
RUS,2008,20163.609375,9.911634742618524,Very High,,32.193,,0.285,62.23,73.33,18.77788223,93.65000343,95.96500015,143.8118405,11.47011309,88.52988691,B,Very High,,14.81447983,13.87944031,,1.037,27161.58567,43756.4678,0.821557118,0.791862385,74.2,61.785,12.36000037,12.2349999,143.8118405,-0.03699999999999992,0.03699999999999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.292
RWA,2008,1190.757579814045,7.082345005240424,Medium,SSA,40.587,,0.456,79.09,78.88,432.0264232,7.41448951,12.77536187,9.8042685,50.94339623,49.05660377,MB,Medium,SSA,10.65579662,10.98162403,,0.925,1446.012762,1833.498155,0.460403182,0.497478651,62.586,58.479,2.884887299,4.182139048,9.8042685,0.07499999999999996,0.07499999999999996,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.465
WSM,2008,4939.225583486485,8.504963833416713,High,EAP,40.914,,,29.36,62.44,58.51970763,,,0.190107,8.163265306,91.83673469,,High,EAP,12.35700012,11.56268227,,0.93,2989.401873,8406.848713,0.668189479,0.718288393,74.313,68.995,11.57900028,11.32800026,0.190107,0.06999999999999995,0.06999999999999995,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
SMR,2008,71723.62421757105,11.180575459314204,Very High,,2.745,,,56.38,80.4,,,,0.0297015,15.0,85.0,,Very High,,16.15044975,14.76891041,,1.015,65838.95448,130655.1788,0.903203386,0.890258138,84.805,80.793,10.06469098,9.430935164,0.0297015,-0.014999999999999902,0.014999999999999902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,
STP,2008,2801.83579336366,7.938030121811992,Medium,SSA,125.332,,0.581,27.71,38.51,149.6055024,32.34861074,46.84472615,0.173793,7.272727273,92.72727273,NB,Medium,SSA,10.26903245,9.922524989,,0.92,3164.928295,5768.738932,0.531912226,0.578100513,65.932,61.107,4.390249821,5.835682741,0.173793,0.07999999999999996,0.07999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.649
SAU,2008,57289.69034131619,10.955875962279205,Very High,AS,20.375,,0.762,17.79,74.36,16.37705504,50.73111089,60.44000117,23.2878775,0.0,100.0,NB,Very High,AS,12.56035256,12.9641273,,0.863,10295.73389,65645.36461,0.711045186,0.823875421,77.571,73.829,7.716666698,8.953333431,23.2878775,0.137,0.137,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.765
SEN,2008,2580.719491760654,7.855823511813326,Low,SSA,85.882,,0.593,37.87,67.87,490.8480022,5.639999866,12.92399979,12.048959,29.2,70.8,NB,Low,SSA,7.483069897,8.068249702,,0.851,2059.273628,4774.794558,0.422354155,0.496177738,64.929,61.457,1.34199996,2.55600009,12.048959,0.14900000000000002,0.14900000000000002,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.597
SRB,2008,13122.50307131647,9.482083827176073,Very High,ECA,21.005,,0.212,43.38,60.34,14.86783149,79.62999725,90.33999634,7.454279,21.6,78.4,VB,Very High,ECA,14.21257973,13.39449024,,0.958,11496.07033,21495.87307,0.754994886,0.788060686,77.13,70.679,9.590000153,10.96000004,7.454279,0.04200000000000004,0.04200000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22
SYC,2008,18880.5748559407,9.84588888711418,Very High,SSA,64.365,,,,,11.30318239,,,0.0925475,23.52941176,76.47058824,,Very High,SSA,,,,,,,,,76.162,68.927,10.48812135,10.84800827,0.0925475,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,
SLE,2008,1722.061026854789,7.4512771238804945,Low,SSA,138.695,,0.663,62.09,62.85,972.6355717,12.41479705,28.93517846,5.8947225,13.2231405,86.7768595,NB,Low,SSA,6.904052652,9.166014299,,0.807,1288.537311,1701.233559,0.356728181,0.441837024,51.681,49.686,2.103190771,4.569141461,5.8947225,0.19299999999999995,0.19299999999999995,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.665
SGP,2008,67735.34808411205,11.12336345091227,Very High,EAP,5.18,,0.089,55.61,76.07,10.8279365,71.30999756,78.86000061,4.806741,24.46808511,75.53191489,VB,Very High,EAP,17.59841919,17.65444946,,0.979,63979.75295,105883.7057,0.91074685,0.930047375,83.667,78.488,10.01000023,11.01000023,4.806741,0.02100000000000002,0.02100000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.098
SVK,2008,23714.13535709907,10.073826577899975,Very High,,21.826,,0.185,51.02,68.28,5.883338936,93.77986225,96.32419787,5.3791205,19.33333333,80.66666667,VB,Very High,,15.81968975,14.49946022,,0.998,23345.62384,39823.38521,0.839547331,0.841282818,78.857,70.827,11.67400017,11.99199991,5.3791205,0.0020000000000000018,0.0020000000000000018,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.182
SVN,2008,29460.94142435151,10.290820645526116,Very High,,5.564,,0.135,53.54,65.63,5.936532067,94.12000275,96.30000305,2.0250855,10.0,90.0,VB,Very High,,17.91024017,16.24856949,,1.006,35277.00104,47257.95501,0.895966828,0.890297163,81.95,75.103,11.69999981,12.14000034,2.0250855,-0.006000000000000005,0.006000000000000005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.139
SLB,2008,1989.021160401478,7.595397917511046,Medium,EAP,63.257,,,63.04,65.11,151.7633104,,,0.50879,0.0,100.0,,Medium,EAP,,,,,1911.949134,2584.661693,,,70.49,66.512,5.058654036,6.298522548,0.50879,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
SOM,2008,739.2094693231269,6.605581330476927,Low,AS,135.461,,,,,1015.121887,,,11.663084,8.203125,91.796875,,Low,AS,,,,,,,,,53.194,49.766,,,11.663084,,,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
ZAF,2008,12525.2630297796,9.435502926114166,High,SSA,55.677,,0.455,47.93,64.39,215.5816663,65.45999908,70.91000366,51.1145985,33.92070485,66.07929515,MB,High,SSA,12.63381004,12.31590033,,0.952,9410.395645,16670.59145,0.624917862,0.656479154,58.146,53.511,8.920000076,9.56000042,51.1145985,0.04800000000000004,0.04800000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.438
SSD,2008,2887.374159282344,7.968102772679441,Low,SSA,116.802,,,,,1138.39578,26.54000092,36.36000061,8.817647,,,,Low,SSA,,,,,,,,,57.159,55.339,4.760000229,6.190000057,8.817647,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
ESP,2008,33349.94258061295,10.414811329621536,Very High,,13.269,,0.122,50.35,68.7,4.001920602,62.34999847,69.05000305,46.235054,33.60522023,66.39477977,VB,Very High,,16.36590004,15.40804958,,0.979,31460.28178,56080.63599,0.853494186,0.87217755,84.335,78.18,8.930000305,9.460000038,46.235054,0.02100000000000002,0.02100000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.127
LKA,2008,7316.58626497874,8.897899140933655,High,SA,20.864,,0.397,34.26,67.75,39.62652229,72.58999634,75.48000336,20.629378,5.777777778,94.22222222,B,High,SA,13.29402494,12.88372123,,0.971,5502.041472,12346.777,0.715279007,0.736966778,77.69,67.879,10.27999973,10.56000042,20.629378,0.029000000000000026,0.029000000000000026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.402
KNA,2008,24102.19938397682,10.090058376060664,Very High,LAC,47.345,,,,,,,,0.046835,6.666666667,93.33333333,,Very High,LAC,15.00121975,14.17982006,,,,,,,74.713,68.493,9.230204259,9.10705232,0.046835,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,
LCA,2008,12968.54572650606,9.470282145079885,High,LAC,45.705,,0.392,52.41,65.71,80.08303081,47.5226318,41.05368363,0.1688075,17.24137931,82.75862069,B,High,LAC,14.20788956,12.7069397,,1.005,15028.08125,24225.89759,0.749361325,0.745328519,75.92,70.119,8.446841742,7.913157614,0.1688075,-0.004999999999999893,0.004999999999999893,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.394
VCT,2008,10901.56487428147,9.2966616243604,High,LAC,66.564,,,,,38.72546036,,,0.1110285,18.18181818,81.81818182,,High,LAC,13.93069592,13.22918015,,,,,,,73.333,68.25,10.13114195,9.973422637,0.1110285,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,
SDN,2008,3937.52685546875,8.278308103547138,Low,AS,91.805,,0.637,25.59,72.12,450.0322471,21.04301311,32.31085606,33.6239795,16.8356998,83.1643002,NB,Low,AS,6.7644701,7.547699928,,0.808,1135.836283,4237.907943,0.398246472,0.492609513,64.219,58.606,2.406,3.73,33.6239795,0.19199999999999995,0.19199999999999995,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.638
SUR,2008,12097.34911632874,9.400741626287875,High,LAC,72.16,,0.48,48.34,74.22,168.6869027,47.63285392,49.78896114,0.5372455,25.49019608,74.50980392,MB,High,LAC,11.79362192,10.46287256,,0.977,13169.98101,26878.55818,0.690398042,0.706716118,72.213,65.857,7.680908544,8.125405993,0.5372455,0.02300000000000002,0.02300000000000002,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.487
SWE,2008,41906.69901735424,10.643200974213052,Very High,,5.905,,0.048,59.8,68.19,5.007554612,85.15000153,86.44000244,9.2199,46.99140401,53.00859599,VB,Very High,,16.57584,15.05300045,,0.991,45751.31972,70905.13737,0.907276139,0.915917503,83.117,79.093,12.14999962,11.98999977,9.2199,0.009000000000000008,0.009000000000000008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.046
CHE,2008,53808.78411270659,10.893192006292596,Very High,,4.259,,0.06,61.3,75.46,8.244287093,94.97356578,96.48289183,7.641728,27.23577236,72.76422764,VB,Very High,,15.34189987,15.62967014,,0.956,46853.06694,99751.36612,0.902384202,0.944374189,84.176,79.571,12.2247946,13.4345654,7.641728,0.04400000000000004,0.04400000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.062
TJK,2008,2120.018457015172,7.659180073767392,Medium,ECA,35.75,,0.341,33.81,60.43,35.18509264,91.54470646,95.33235258,7.338403,19.58762887,80.41237113,B,Medium,ECA,9.949749947,12.05706024,,0.88,1821.102667,4161.288335,0.588487962,0.668937083,70.606,65.266,10.55411782,11.65000007,7.338403,0.12,0.12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.337
