STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REGION,,LOCATION,,INCOME,,VARIABLE,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MEASURE,,UNIT_MULT,,BASE_PER,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,LAC,,ARG,,UMI,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,BLR,,UMI,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,BGR,,UMI,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,LAC,,COL,,UMI,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,LAC,,CRI,,UMI,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,LAC,,CUB,,UMI,,SB,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,LAC,,CUB,,UMI,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,LAC,,DOM,,UMI,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,LAC,,ECU,,UMI,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,LAC,,JAM,,UMI,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,MKD,,UMI,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,SSA,,MUS,,UMI,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,LAC,,PAN,,UMI,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,ROU,,UMI,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,LAC,,VEN,,UMI,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,SRB,,UMI,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,SRB,,UMI,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,ESP,,AIC,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,AUS,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,AUT,,AIC,,FC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,AUT,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,BEL,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,BEL,,AIC,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,CAN,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,CZE,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,DNK,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,FIN,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,FRA,,AIC,,RP,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,FRA,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,FRA,,AIC,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,DEU,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,GRC,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,HUN,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,ISL,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,IRL,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,ITA,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,JPN,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,LUX,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,MEX,,AIC,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,NLD,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,NZL,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,NOR,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,POL,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,PRT,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,PRT,,AIC,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,SVK,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,ESP,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,SWE,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,CHE,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,TUR,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,USA,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,ARG,,AIC,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,BLR,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,BTN,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,BOL,,AIC,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,BGR,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,KHM,,AIC,,SB,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,CHL,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,COL,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,COG,,AIC,,SB,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,CRI,,AIC,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,HRV,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,CUB,,AIC,,SB,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,CUB,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,CYP,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,PRK,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,DOM,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,ECU,,AIC,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,SLV,,AIC,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,EST,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,GMB,,AIC,,SB,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,HTI,,AIC,,SB,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,ISR,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,JAM,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,KWT,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,LVA,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,LSO,,AIC,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,LTU,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,MKD,,AIC,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,MDG,,AIC,,SB,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,MUS,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,MDA,,AIC,,SB,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,MOZ,,AIC,,SB,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,MMR,,AIC,,SB,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,PAN,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,ROU,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,RUS,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,SVN,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,SVN,,AIC,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,SWZ,,AIC,,SB,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,TTO,,AIC,,SB,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,TTO,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,UKR,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,VEN,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,ZWE,,AIC,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,SRB,,AIC,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,SRB,,AIC,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,HRV,,HIN,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,CYP,,HIN,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,KWT,,HIN,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,LVA,,HIN,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,LTU,,HIN,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,RUS,,HIN,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,TTO,,HIN,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,AUS,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,AUT,,HIO,,FC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,AUT,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,BEL,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,BEL,,HIO,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,CAN,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,CZE,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,DNK,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,FIN,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,FRA,,HIO,,RP,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,FRA,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,FRA,,HIO,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,DEU,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,GRC,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,ISL,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,IRL,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,ITA,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,JPN,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,LUX,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,NLD,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,NZL,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,NOR,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,POL,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,PRT,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,PRT,,HIO,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,SVK,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,ESP,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,TTO,,HIN,,SB,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,ESP,,HIO,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,SWE,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,CHE,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,USA,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,CHL,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,EST,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,ISR,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,SVN,,HIO,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,SVN,,HIO,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,KHM,,LIN,,SB,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,PRK,,LIN,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,GMB,,LIN,,SB,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,HTI,,LIN,,SB,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,MDG,,LIN,,SB,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,MOZ,,LIN,,SB,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,MMR,,LIN,,SB,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,ZWE,,LIN,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ALL,,BTN,,LMI,,RR,,2014,,0,,A,,,,,,,
